"A" "B" "C" "D"
"198" 2996.83 6452.35 6393.12 1323.37
"199" 4973.19 4578.52 1077.76 2533.98
"200" 5735.43 3984.17 4312 2253.43
"201" 4010.98 4114.81 7154.09 2030.82
"202" 2331.23 5399.46 1304.4 2676.97
"203" 3247.74 3876.11 6745.32 5048.54
"204" 2129.53 4360.14 4711.28 2233.09
"205" 5113.84 5540.09 7254.36 2852.84
"206" 5571.57 4056.98 1688.36 3037.31
"207" 2474.09 3380.28 4625.43 2000.07
"208" 6605.76 4613.54 2401.22 5817.51
"209" 4279.13 2923.53 1746.39 2351.06
"210" 2697.9 3639.8 6703.26 2310.58
"211" 6582.65 2878.79 2846.82 3724.13
"212" 4690.4 4886.45 1101.66 2162.04
"213" 4181.94 4430.84 2583.6 1592.55
"214" 6676.67 4335.18 2936.27 5413.44
"215" 6312.21 5478.77 2987.83 1877.71
"216" 5989.73 3638.14 2492.97 2947.27
"217" 5086.71 5497.09 3068.48 2627.96
"218" 5135.32 6660.82 2036.23 3300.32
"219" 5766.24 3136.22 3494.02 3441.07
"220" 4329.71 2667.4 3780.25 5711.66
"221" 4872.24 5989.64 6758.58 2994.87
"222" 3825.45 5153.42 5409.46 3654.42
"223" 5512.79 6306.61 1212.3 4562.67
"224" 5087.04 5911.85 4345.4 3385.55
"225" 4671.03 2518.79 4388.55 3078.23
"226" 5328.98 5218.87 6137.41 3094.29
"227" 4970 3570.64 6947.17 3097.96
"228" 5331.88 2627.32 6544.25 3883.57
"229" 4454.23 5576.15 3593.17 3401.93
"230" 4376.63 2935.88 1922.03 5908.27
"231" 6485.98 3411.51 5870.69 2372.24
"232" 6167.17 5972.6 3990.12 4183.7
"233" 5427.01 4542.91 4546.7 3727.44
"234" 3645.46 5093.56 4333.1 3239.83
"235" 4948.69 5052.12 4290.34 1099.3
"236" 5607.7 5176.01 6763.87 1990.53
"237" 5738.18 3927.74 5870.21 1969.18
"238" 3165.88 4215.56 3384.73 4143.45
"239" 5255.07 4270.4 1101.06 2716.69
"240" 6378.52 4942.21 3952.78 1436.43
"241" 5370.01 3953.92 1078.6 4830.46
"242" 5700.38 4147.08 5987.12 1773.65
"243" 2387.99 4198.3 4406.33 3753.05
"244" 5609.53 3494.86 1050.59 7121.35
"245" 5928.12 3616.09 6307.19 3178.62
"246" 2417.92 6060.29 3618.57 3861.64
"247" 4893.78 3060.95 4173.46 5983.21
"248" 6246.89 3485.1 2758.74 3254.75
"249" 5822.26 4360.96 4584.62 2669.6
"250" 5003.63 3830.21 7465.21 4577.13
"251" 5717.13 4268.05 5487.54 3266.25
"252" 5245.12 1815.68 4539.46 3823.18
"253" 3950.49 4593.95 2893.58 2642.14
"254" 3323.1 5025.39 7212.51 3277.2
"255" 5462.9 2961.88 5180.58 1597.32
"256" 4116.65 4062.83 2454.6 3022
"257" 4744.5 2377.69 3721.93 3054.1
"258" 6897.63 5842.61 6141 3170.22
"259" 6018.47 4059.75 3991.14 4752.72
"260" 3658.61 4552.23 3881.71 2668.33
"261" 4524.45 3798.42 3043.01 3606.22
"262" 1554.81 4128.58 1241.54 3888.66
"263" 2900.9 5254.2 6038.24 2529.68
"264" 6740.8 4737.2 2848.16 5031.36
"265" 4410.2 4136.5 2288.57 3142.07
"266" 6041.72 3691.29 7125.71 4281.94
"267" 4177.5 3060.13 1312.33 7483.68
"268" 4962.2 2237.53 1415.2 4594.54
"269" 4347.51 2985.02 1393.9 3163.83
"270" 3802.87 4078.82 2547.24 3758.61
"271" 6480.12 2956.05 2638.12 5722.3
"272" 3998.92 3752.82 4952.54 2504.3
"273" 5055.33 3336.4 1553.17 4319.1
"274" 5794.31 4525.52 1398.6 3114.44
"275" 6143.55 6073.55 1474.9 2016.55
"276" 5238.65 6077.02 3664.11 2773.3
"277" 6606.33 2663.98 4290.35 1945.28
"278" 3485.56 5331.62 2765.19 3759.93
"279" 5455.01 3059.41 6813.91 2575.75
"280" 6095.11 3705.65 5100.59 3801.17
"281" 5235.03 4246.09 2912.68 2478.89
"282" 2813.04 4809.46 3372.72 2229.34
"283" 4524.81 5149.21 6675.22 3463.43
"284" 6082.91 4893.92 3730.57 2647.48
"285" 4028.65 4002.21 4427.89 9570.73
"286" 2883.47 7289.18 1187.39 2158.6
"287" 3884.6 6426.26 2737.06 2099.53
"288" 3177.13 6305.09 5431.83 3043.86
"289" 2013.53 5275.8 2247.57 3372.68
"290" 4843.5 3883.5 3217.64 4472.04
"291" 5217.14 3849.3 2029.94 5101.37
"292" 4860.06 5415.45 3460.61 3117.95
"293" 2628.02 7201.23 5572.66 2203
"294" 5400.18 5774.35 4953.44 3321.14
"295" 4835.32 4697.7 5523.39 2654.95
"296" 5758.87 4658.37 2523.94 1289.88
"297" 2034.75 6285.6 6097.66 7999.69
"298" 5876.16 4641.35 4915.18 5101.41
"299" 6217.81 3464.81 2085.64 2123.07
"300" 3716.26 5266.32 7428.88 4428.55
"301" 3823.2 4435.6 4733.16 5152.67
"302" 2795.2 3888.71 1279.09 3161.41
"303" 6230.75 3961.68 6265.41 4139.65
"304" 3724.48 2866.21 7084.76 4920.51
"305" 4317.32 6321.15 4260.23 3749.7
"306" 5425.2 3549.05 2285.16 3588.74
"307" 4982.5 5278.21 3575.03 3813.5
"308" 4163.32 3753.96 6422.96 2136.24
"309" 5170.78 5829.65 4205.51 4081.89
"310" 6435.58 5898.27 3421.81 3803.6
"311" 4588.04 4431.56 2311.63 3281.12
"312" 5809.51 3602.43 6561.54 3863.02
"313" 2174.36 3126.05 6668.17 862.29
"314" 4898.99 6450.01 7102.87 2624.48
"315" 4127.16 5655.02 7374.99 4619.24
"316" 4840.81 4524.3 7145.02 1630.96
"317" 5257.93 3234.78 5970.55 2640.9
"318" 3335.36 5661.24 6154.79 3279.93
"319" 4405.68 3232.13 2832.98 2973.23
"320" 5035.84 2341.32 3523.78 4279.84
"321" 3576.87 3482.16 6577.76 3565.51
"322" 5545.59 3859.94 2926.94 3319.41
"323" 6377.75 2191.86 4390.52 3399.7
"324" 3030.98 5387.21 3041.83 1970.87
"325" 3342.33 4859.48 5035.67 4184.17
"326" 4199.17 5573.82 6814.73 2540.29
"327" 4595.94 3506.52 6386.12 4185.83
"328" 4299.2 3153.76 5689.61 3488.2
"329" 5330.93 3372.48 4296.83 3918.06
"330" 2625.69 3769.52 7160.27 3264.36
"331" 6641.93 4003.33 3781.4 3271.96
"332" 4259.87 3618.02 3775.97 3040.35
"333" 5322.31 2802.88 2711.05 2427.56
"334" 6234.13 3481.1 5239.39 2695.48
"335" 3961.19 5834.26 6892.79 2614.13
"336" 4265.47 3095.39 3578.65 4536
"337" 3854.38 3374.53 2018.99 4707.34
"338" 5706.02 6619.09 3902.74 3250.72
"339" 5760.2 5282.07 3341.48 2029.91
"340" 4085.59 4426.05 1131.64 1561.54
"341" 5522.56 2165.64 4414.94 5337.07
"342" 4257.83 5309.51 4186.19 5199.4
"343" 5220.47 5610.23 6653 4180.16
"344" 2729.89 4732.81 1602.39 4239.39
"345" 6759.21 2707.04 6832.27 3190.47
"346" 3782.39 7225.86 1828.53 1794.32
"347" 6512.42 4212.93 1346.8 2186
"348" 6264.54 5558.69 6353.46 5123.48
"349" 6622.44 3907.69 3726.05 3896.75
"350" 5490.01 4187.78 5907.26 4133.91
"351" 4522.21 2663.39 1517.35 4733.17
"352" 6487.69 3845.08 4299.14 4245.61
"353" 5172.41 1575.18 1560.11 4049.34
"354" 4764.09 5429.18 2406.37 5336.35
"355" 4012.72 4877.19 5133.14 2789.86
"356" 5538.23 4857.31 2961.08 4136.03
"357" 4494.45 5766.32 3147.91 3992.05
"358" 5274.6 8540.12 5780.31 3368.72
"359" 3670.78 4682.01 3758.51 4957.48
"360" 4030.69 5847.67 1795.43 3462.75
"361" 3370.26 4477.97 2079.76 2420.07
"362" 4424.35 4558.62 1871.84 3046.63
"363" 4820.68 4131.13 4872.86 3411.24
"364" 5925.16 3147.56 4841.38 4251.05
"365" 5198.33 4388.53 2224.28 928.89
"366" 5070.1 5683.07 5831.42 2147.71
"367" 5209.54 6262.1 4719.42 2252.11
"368" 4016.41 4142.62 6819.99 3217.26
"369" 3446.54 1897.24 7054.96 2794.99
"370" 2685.96 6088.38 6684.4 1988.85
"371" 4388.61 5421.18 4436.05 1092.44
"372" 5272.67 3690.01 3000.74 2929.85
"373" 5997.98 3840.53 6159.29 1505.66
"374" 5847.5 4646.11 1349.27 3385.4
"375" 5876.3 3753.19 2982.88 8231.67
"376" 4133.55 3275.99 4121.52 4902.17
"377" 5323.32 6551.17 2174.42 2513.46
"378" 5361.97 1323.58 7103.17 4160.93
"379" 4735.98 4487.1 2222 3463.44
"380" 3286.64 3332.35 5323.4 2587.96
"381" 3752.91 4811.48 4456.4 3742.02
"382" 5704.92 5595.29 6793.27 3750.82
"383" 4400.17 5322.42 1261.29 3082.63
"384" 5675.11 5528.68 3157.56 1725.65
"385" 3775.12 4201.8 3667.49 3380.1
"386" 5517.51 4924.65 1191.69 3199.49
"387" 1514.76 5600.45 2382.81 3268.59
"388" 4398.78 4417.45 3225.87 3910.78
"389" 5057.36 3674.76 4967.62 2153.71
"390" 6215.69 5465.99 2998.51 5650.6
"391" 2882.2 5507.67 4896.05 3048.44
"392" 5257.73 3209.81 5010.29 4053.14
"393" 4328.4 4239.86 4941.99 2576.12
"394" 6366.65 5309.23 1011.31 2730.21
"395" 5874.51 4406.78 4807.33 2726.92
"396" 6232.77 3477.33 5538.28 2380.9
"397" 6065.8 6354.07 1873.55 2369.07
"398" 2966.82 3127.05 1805.96 3436.3
"399" 4738.06 4209.72 1650.89 2685.26
"400" 2859.2 5552.84 4545.42 1679.51
"401" 3688.79 5507.43 1078.77 4556.57
"402" 2402 5070.86 1468.86 2864.68
"403" 5081.88 3044.28 2084.02 4990.07
"404" 5292.24 2891.31 3236.8 1476.11
"405" 6025.96 4745.37 1041.78 2812.49
"406" 6047.06 6025.5 2694.17 2992.62
"407" 3926.35 5317.82 2722.38 3907.61
"408" 6966.52 7098.07 3219.22 2610.19
"409" 4425.25 3738.7 1657.01 7277.15
"410" 4803.57 4348.02 2292.87 2505.25
"411" 5961.94 6591.73 4975.26 2316.86
"412" 1988.55 6341.74 1762.84 1819.44
"413" 6787.89 3805.75 5919.31 2651.64
"414" 4005.19 6036.28 1317.41 2722.64
"415" 6267.69 4503.78 3663.32 1860.54
"416" 5939.24 4857.08 5753.84 4004.5
"417" 4512.77 4832.31 5024.45 3841
"418" 4770.85 4102.55 4158.57 4426.55
"419" 5809 2669.16 6030.95 1323.57
"420" 4248.92 3286.84 1706.43 2499.2
"421" 3179.56 4878.56 2179.74 2584.78
"422" 2930.71 5636.67 3238.72 3558.99
"423" 3123.83 5605.55 5128.56 3522.8
"424" 4290.95 3054.54 1537.09 4601.15
"425" 4207.61 3955.56 3697.31 6323.67
"426" 3503.86 6026.35 7343.03 3588.82
"427" 3118.03 3222.77 1836.96 2539.05
"428" 4641.89 4324.4 1282.51 5272.23
"429" 3150.99 3290.2 4486.64 2097.66
"430" 2506.49 3961.18 1122.96 2074.49
"431" 4690.42 5726.52 3427.55 3346.44
"432" 4229.38 3626.34 7113.3 3597.3
"433" 4176.83 3847.39 6569.56 3458.28
"434" 4402.18 4061.4 6213.67 1686.96
"435" 6245.56 2471.32 5953.16 3303.92
"436" 2228.4 4610.45 1153.35 1805.04
"437" 5710.53 4742.56 6540.13 3781.14
"438" 4367.88 3499.01 2623.94 3275.18
"439" 4843.85 3531.6 4871.07 3823.75
"440" 5340.11 3717.61 1664.42 3306.98
"441" 4133.33 2069.47 6867.24 3465.58
"442" 4862.52 4291.25 6489.58 2558.65
"443" 6047.4 6164.35 3871.88 3227.89
"444" 4749.86 4317.98 4892.43 2134.61
"445" 3163.56 3471.12 6296.77 2194.94
"446" 5890.11 4977.87 2198.65 3938.96
"447" 3967.18 5593.55 4461.03 3961.59
"448" 5006.21 6130.39 1683.69 1485.72
"449" 3914.58 5029.75 7427.87 2168.59
"450" 3837.56 3850.58 3100.56 3464.69
"451" 6647.06 4225.12 4344.94 1655.85
"452" 5469.24 4371.45 6984.31 1944.45
"453" 5355.46 5023.03 6162.63 2451.54
"454" 2800.2 3222.41 4452.64 2008.79
"455" 3447.18 2466.82 4498.53 4093.15
"456" 4158.65 4962.26 5051.5 1953
"457" 4206.93 1707.37 2051.23 2447.05
"458" 5508.76 4793.72 3457.79 3362.17
"459" 4269.71 3518.64 3723.03 2322.03
"460" 3327.57 3113.73 4285.25 5530.27
"461" 1340.99 2661.01 1874.08 2356.38
"462" 2764.26 3294.42 6946.84 4073.31
"463" 4247.81 5658.61 4077.55 4161.93
"464" 5320.02 4736.92 3538.55 2747.82
"465" 4252.03 6314.7 1839.68 4282.11
"466" 4387.85 4787.66 4727.49 4565.98
"467" 5695 5370.23 2419.22 1506.3
"468" 4007.11 3735.61 2296.52 2176.18
"469" 2386.41 3882.41 5055.11 1728.31
"470" 3933.72 5501.39 2989.21 1480.45
"471" 3662.56 5649.18 5881.76 6200.02
"472" 5036.09 3085.13 4197.67 4808.79
"473" 5118.4 2237.68 5043.9 1966.95
"474" 3407.95 4410.69 3253.45 4091.81
"475" 5881.58 4410.12 1135.15 3146.28
"476" 3906.61 3400.55 4946.87 3704.55
"477" 4418.67 4112.63 4185.3 2165.25
"478" 6904.68 5754.93 6749.68 3801.52
"479" 4649.48 5191.01 4106.63 2876.31
"480" 4755.23 2273.89 6837.63 2393.89
"481" 4104.83 4161.46 4845.18 3444.89
"482" 5352.85 4002.44 4822.45 3801.23
"483" 5669.69 5242.51 6496.43 1697.87
"484" 2527.37 5859.04 5764.31 4805.58
"485" 5500.12 4587.1 1465.92 3802.09
"486" 2333.03 5146.49 1112.84 2427.04
"487" 5742.52 5335.01 7387.02 2100.65
"488" 4590.98 3966.97 3481.85 2935.91
"489" 4675.69 3519.39 1078.93 4228.56
"490" 6483.13 4440.38 1247.48 2374.69
"491" 4997.27 3971.74 6583.16 3756.97
"492" 5290.21 2503.05 5401.4 1374.68
"493" 4369.18 4582.1 3184.77 2644.33
"494" 6833.17 3634.13 6308.1 2552.33
"495" 4538.13 3814.76 2913.69 3064.83
"496" 5350.13 3676.33 5348.94 2564.99
"497" 5436.21 3682.34 4444.54 4048.89
"498" 3757.98 6272.71 5300.5 2770.61
"499" 4983.84 4389.88 2304.62 2917.34
"500" 4699.51 3607.59 2334.07 2430.44
"501" 3910.92 5676.92 5886.73 2618.91
"502" 5604.42 3034.15 5488.34 2026.48
"503" 3301.67 4386.9 4723.61 2429.52
"504" 4722.59 4629.12 4668.48 4832.81
"505" 5755.95 2660.95 3238.14 5350.3
"506" 4482.81 3429.24 1183.98 2580.78
"507" 3642.19 6166.57 1729.46 2385.94
"508" 806.84 5617.79 4731.13 3408.09
"509" 4225.72 3046.54 3042.35 2977.1
"510" 5246.27 4848.87 5325.57 1894.01
"511" 3425.75 3624.59 6480.35 1967.84
"512" 4798.98 4450.67 1363.8 3107.92
"513" 4539.08 5427.79 5760.8 2647.42
"514" 4071.85 2783.37 6282.23 4085.68
"515" 2439.27 3879.38 2811.43 7014.67
"516" 5747.99 3443.74 3112.74 2080.45
"517" 6373.43 4040.86 3366.04 1407.03
"518" 3268.42 3037.77 1223.47 2903.2
"519" 5085.94 4719.31 4039.07 3309.5
"520" 1966.75 5481.23 4976.48 2130.9
"521" 2882.08 2715.83 3939.46 2476.84
"522" 4866.41 5322.33 1769.83 2753.38
"523" 3252.17 3842.14 5217.05 3377.34
"524" 3966.52 3554.95 4484.9 1585.54
"525" 4643.14 4979.88 7458.38 2186.84
"526" 5042.52 5109.28 5196.04 2205.45
"527" 4533.08 5127.79 3790.53 2414.81
"528" 6166.73 7016.57 2516.33 3436.38
"529" 3404.05 3409.51 2198.12 2608.8
"530" 3461.78 3419.52 5674.75 5640.72
"531" 2658.3 3936.17 4269.07 5524.85
"532" 4939.55 4885.89 4270.12 2013.09
"533" 5640.56 3665.91 4956.57 8836.45
"534" 5345.9 7646.38 5534.37 3052.96
"535" 4831.58 4077.37 5485.53 6099.45
"536" 5683.86 4417.01 1485.8 2584.85
"537" 5588.76 6476.89 1597.41 3798.64
"538" 5403.81 6334.13 2566.68 2256.48
"539" 5500.66 5028.9 1003.8 6334.58
"540" 2794.19 4059.42 6677.13 2240.69
"541" 4393.25 3353.67 5577.5 4211.83
"542" 5488.94 3297.13 1857.45 3411.25
"543" 5354.29 5360.21 1885.2 1676.59
"544" 5068.38 6251.09 4082.53 1478.28
"545" 4413 6126.88 2594.44 3338.63
"546" 5055.87 4154.76 6559.51 5034.51
"547" 5159.91 5945.07 6065.06 3084.13
"548" 6283.22 2320.96 1483.02 7968.94
"549" 4716.92 5359.48 1692.51 3067.5
"550" 5537.28 2163.6 4965.27 3251.1
"551" 4823.56 2655.5 7489.73 1408.91
"552" 4732.18 6256.36 4218.95 3596.4
"553" 4782.75 4950.72 4291.05 2718.39
"554" 4296.6 5982.23 3224.51 3465.66
"555" 3068.74 5110.86 5433.67 2110.51
"556" 6047.91 4894.14 5059.95 5214.93
"557" 3973.59 4988.41 7241.34 2206.06
"558" 5484.21 5879.58 6523 2495.6
"559" 6129.96 4564.12 6475.97 2979.75
"560" 4277.54 4975.23 3584.47 3744.35
"561" 5967.6 5087.06 1777.55 4343.08
"562" 2329.16 6088.67 5476.56 2729.75
"563" 4119.43 2639.28 2256.17 3326.16
"564" 5991.24 2982.84 6362.42 2031.18
"565" 3953.6 3704.23 6855.6 1436.76
"566" 3462 5049.12 2943.36 1900.94
"567" 5662.25 4891.06 2429.96 2307.94
"568" 4198.47 2334.5 6761.99 5996.11
"569" 6673.08 3948.1 6224.95 8047.95
"570" 3736.45 5882.97 4429.91 3787.26
"571" 6502.1 6839.93 1057.81 4549.21
"572" 4275.89 5563.49 7490.05 4135.58
"573" 5264.22 3280.19 6538.21 1834.55
"574" 4836.31 4858.82 3026.21 2386.25
"575" 5149.87 5309.82 6251.03 3636.2
"576" 3968.09 2850.19 5660.08 2721.37
"577" 4241.15 2897.19 1036.26 1423.08
"578" 6138.12 4912.29 3047.76 1632.4
"579" 6467.51 5276.1 2512.35 1699.93
"580" 4092.52 5269.62 6465.4 3311.75
"581" 4657.23 5797.51 6598.9 4005.4
"582" 4196.4 3687.4 2055.42 4325.87
"583" 5312.47 4158.75 6993.68 2964.26
"584" 4406.72 3382.01 2841.78 3165.18
